,State,Year,Quater,District,Transaction_count,Transaction_amount
373,andhra-pradesh,2022,2,517507,7667416,14863715364.820652
374,andhra-pradesh,2022,2,520002,7584902,19447767871.79056
375,andhra-pradesh,2022,2,530016,6470271,11522114399.303429
376,andhra-pradesh,2022,2,515001,6291639,12847256630.386038
377,andhra-pradesh,2022,2,522001,6073875,16041957319.95133
378,andhra-pradesh,2022,2,520010,5301338,10747157085.983915
379,andhra-pradesh,2022,2,516001,4927880,12452111307.590088
380,andhra-pradesh,2022,3,530026,10427710,24452749355.343765
381,andhra-pradesh,2022,3,517501,9028550,16685152652.27945
382,andhra-pradesh,2022,3,517507,7638906,14893051968.861427
383,andhra-pradesh,2022,3,524002,6897466,17798259711.658493
384,andhra-pradesh,2022,3,522001,6608575,14799455202.072798
385,andhra-pradesh,2022,3,520002,6370783,17359205738.798397
386,andhra-pradesh,2022,3,530016,6352195,11280121649.92772
387,andhra-pradesh,2022,3,515001,6120942,12350133591.116642
388,andhra-pradesh,2022,3,520010,5372903,10801020194.878735
389,andhra-pradesh,2022,3,516001,5350632,13517253500.100548
390,andhra-pradesh,2022,4,530026,10249750,23326515677.88234
391,andhra-pradesh,2022,4,517501,9601016,17160601029.470804
392,andhra-pradesh,2022,4,517507,8255182,15452889827.310287
393,andhra-pradesh,2022,4,530016,6770365,11575693176.866528
394,andhra-pradesh,2022,4,515001,6566772,12647557281.819908
395,andhra-pradesh,2022,4,522001,6419773,13879436431.018642
396,andhra-pradesh,2022,4,520010,5887349,11108836639.890686
397,andhra-pradesh,2022,4,518002,5810257,12488419884.161985
398,andhra-pradesh,2022,4,520002,5685286,14883019280.330643
399,andhra-pradesh,2022,4,516001,5545373,13027211098.677938
400,arunachal-pradesh,2018,1,791110,4253,8605127.65004581
401,arunachal-pradesh,2018,1,791111,4207,9841038.918801479
402,arunachal-pradesh,2018,1,791102,3286,5671981.37541513
403,arunachal-pradesh,2018,1,790116,2704,4457038.562331891
404,arunachal-pradesh,2018,1,790104,2114,4578762.301169472
405,arunachal-pradesh,2018,1,791109,2112,3137887.500695069
406,arunachal-pradesh,2018,1,792131,2097,3667031.7501450847
407,arunachal-pradesh,2018,1,791001,2041,5020173.997662732
408,arunachal-pradesh,2018,1,791113,1955,6492923.793813149
409,arunachal-pradesh,2018,1,792001,1865,2638135.148973316
410,arunachal-pradesh,2018,2,791110,7878,19894634.32236063
411,arunachal-pradesh,2018,2,791111,7239,20302894.32407169
412,arunachal-pradesh,2018,2,791102,6046,11116134.491696559
413,arunachal-pradesh,2018,2,790116,4689,11109804.760347228
414,arunachal-pradesh,2018,2,790104,4436,10757634.641186869
415,arunachal-pradesh,2018,2,792131,4342,9787595.363164986
416,arunachal-pradesh,2018,2,791113,4159,10355129.796387024
417,arunachal-pradesh,2018,2,792103,3885,10332844.690670341
418,arunachal-pradesh,2018,2,792102,3638,13733030.966675913
419,arunachal-pradesh,2018,2,791109,3486,8901023.6818946
420,arunachal-pradesh,2018,3,791110,13489,28577947.494984522
421,arunachal-pradesh,2018,3,791111,10508,33766761.060124576
